j_i: 0, vi: 316, bitPtr: 144, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 319, bitPtr: 144, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 320, bitPtr: 15, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 321, bitPtr: 15, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 322, bitPtr: 15, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 323, bitPtr: 15, bitMask: 8, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 332, bitPtr: 144, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 335, bitPtr: 144, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 340, bitPtr: 144, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 343, bitPtr: 144, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 349, bitPtr: 96, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 350, bitPtr: 96, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 370, bitPtr: 84, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 372, bitPtr: 84, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 374, bitPtr: 84, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 380, bitPtr: 144, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 383, bitPtr: 144, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 389, bitPtr: 96, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 390, bitPtr: 96, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
